Student_ID,math_score,reading_score,writing_score
4C25D2D418EC,48,28,23
592288068D0E,36,29,23
493EFBA51280,20,29,25
9508878DBECD,32,34,28
B814C88DED05,36,38,29
90F347125D27,36,36,30
2F0C6D6AA452,49,39,30
26663929B9D5,41,40,32
2DF8539DE639,35,35,34
6E574745ADFD,35,41,34
C89576B45391,37,41,34
1272940F8AEF,31,30,35
9EE483033922,36,34,35
1065E531486A,43,38,35
E235C07F2441,38,37,36
2428CA231380,42,38,36
D132A9371F5A,34,43,36
3049A95E9F66,35,45,36
377BA9A6E418,36,45,36
BE87DF6C173F,40,42,37
315438036B3A,47,48,37
EA35CA02E260,56,41,38
C46132201669,35,41,38
153D811E08FB,50,43,38
00E7C83E7D03,34,44,38
FDDB4FCD74E7,37,39,39
9C6A00155CAC,53,40,39
62475ADCE79B,46,41,39
619F8FAA4668,46,42,39
FC37FD84A71D,37,43,39
0849A9259271,40,44,39
975C897407C7,48,45,39
146C5610BBF5,42,40,40
338D452B1F05,32,41,40
972D3C8707CB,40,43,40
5E9849FC981D,38,45,40
398EDC8D7360,40,46,40
6B156B454D40,45,49,40
52CD9A8E44CB,41,51,40
F43FDFEB98FA,44,52,40
A62CF1A934EB,46,39,41
9825D0BC400A,28,40,41
B8E247196BF6,36,42,41
F3A66D61CE56,28,44,41
B3FC85821768,58,45,41
A2C38CA3E744,55,45,41
511F8AF7443A,46,50,41
40556FA30792,25,37,42
7843A89BA2D0,49,41,42
91171C440411,41,42,42
7811A6F2B2B7,33,42,42
4D766AFEF073,24,43,42
EBA8709921FF,46,46,42
141E27304EDF,50,48,42
308CB08FF368,54,54,42
F9BB6DFB6871,50,39,43
4AE08C879D70,47,47,43
9AB24E51F16A,54,47,43
0A4DFCB22E3E,54,47,43
FCD19E14F00F,50,49,43
BF0DAF397AD5,42,55,43
FACB636DFE8B,60,47,44
3D4C08D7EE27,58,48,44
5ADF231C953C,44,49,44
951579EA153B,49,51,44
ECFFA2F3516B,61,52,44
3DDC3A3C0417,22,38,45
164394D24A13,42,40,45
B42989CE5DB9,52,43,45
395FE2E19FE6,51,47,45
4268FC1BBF04,38,47,45
48547B1FCFE0,45,49,45
D0B0F313C535,41,50,45
4A92F11EF803,56,51,45
DEFE4FA15059,46,52,45
E7436BC28858,44,52,45
EA94E2C3709E,60,53,45
14767BD4E13A,66,53,45
6AB2F507F1B1,41,45,46
C8D9B82062BF,58,47,46
035827F94A61,57,51,46
6078960BD537,55,53,46
56A440B24863,39,53,46
E9C5A0CE239F,51,44,47
EDE430AD39D6,49,45,47
993F208CAFA0,52,45,47
6129D3AA7E7F,47,46,47
51A8CC09F9FF,39,47,47
18F422B236A7,44,47,47
2F36BFFD67B4,45,47,47
AB0D7FB833BB,50,48,47
707E7440EA76,47,48,47
E0B7E82AB286,61,50,47
8BF820548DED,46,54,47
7D40083BCBC1,39,54,47
224EB4ACD536,45,56,47
CC1C1725F728,65,57,47
E31B8A46282D,39,43,48
B10E0949211E,47,47,48
A94491B61F15,58,49,48
EAD8E09DFA79,48,51,48
93D484D71799,51,52,48
BDE86DC495C6,42,53,48
E18AB12AB162,58,56,48
226866F9C863,50,56,48
7871AA9DD084,47,41,49
74B8C805F3D9,56,42,49
17106B3281C1,51,47,49
19D32C291DDF,28,49,49
6A89E12B5DEC,52,50,49
28017C810D08,53,50,49
165285871EF4,61,51,49
FAB8D651298F,53,51,49
CF51A52CD06A,40,53,49
BB3CCFB22F7B,44,56,49
61A8766708E7,53,60,49
00A86A3C467B,32,48,50
19722F5952DD,53,50,50
5F73E8A5C12D,50,51,50
157D23B47BBF,43,52,50
E7A6F35016F2,61,54,50
C8F0B3D5312C,61,56,50
3005C243B257,56,60,50
D5340932D27E,65,60,50
87CA803A0EA2,58,50,51
EDC3ED6DC9A6,44,50,51
2307B5AF2A5A,49,52,51
BFAC1D129ED3,50,53,51
99610D179BB1,47,53,51
515A86600BEB,61,55,51
36FEF26338A0,51,56,51
B6216E2EADCE,40,50,52
5E330507B99D,47,52,52
395856098203,64,52,52
A02902536932,52,55,52
9E9A6347A464,67,57,52
3276FF5247AB,66,63,52
99658306486E,39,48,53
F995C3B84455,56,50,53
5EC54A3634C4,56,50,53
1E4760172997,49,51,53
DE272CCB97E4,50,52,53
71056FB2AD17,44,52,53
382B60906C52,58,53,53
7CC1CEAE852E,55,57,53
3BDD8AD15E95,58,57,53
4EFBB6761292,55,58,53
0AACB8FF24B4,46,58,53
1898EAD6447B,59,63,53
49B485B1DFF6,56,65,53
172F932A5471,63,67,53
65849BDF3E9C,42,49,54
411FA5DF14A0,56,50,54
B40031E14282,33,50,54
6670670DE4A0,53,51,54
6FD841149FEC,38,53,54
BACB506B8512,44,53,54
8D33C0362397,63,54,54
18E9521269A3,39,56,54
1F51FFB81525,42,57,54
06434770BAC4,50,58,54
A7522D288698,67,58,54
334CD50F9DEB,67,59,54
226840CABC14,59,59,54
F1D0A5877494,53,60,54
C91925B8883D,54,60,54
7CDCD2A3CC30,58,64,54
2E726A491B81,59,48,55
C19CF10E0311,44,48,55
4403A800FA0C,67,52,55
B03A186B6F6A,50,54,55
F817F2CC6CD9,69,54,55
A3A5558121AA,39,54,55
5C4D3C4A8FAF,61,55,55
7497EC3330F0,63,56,55
1EFC92B0F8CA,61,56,55
24CF63F300D2,41,56,55
F62CEF9005D6,58,57,55
36F499DE4744,48,57,55
459116B06019,56,58,55
CD1065DD9120,63,59,55
BFF287E77E33,40,59,55
5336CCAB317E,58,62,55
7835B3AF6B18,54,62,55
5189121EA9A3,50,64,55
15BAA7386610,58,65,55
1761EAEB10A9,43,51,56
75FFFC0FB397,55,52,56
CED46B7954A8,53,56,56
605AC17D0204,58,56,56
736B4EA905FB,68,56,56
ABD89FE93EC2,63,57,56
C782923511BF,60,57,56
7D90E0B4EBDF,45,58,56
F368AD373F48,32,59,56
514359F1B74D,63,60,56
5231F7FC4320,58,60,56
3CC1A93E1853,66,60,56
278DEF78BEC1,57,62,56
EF35905E7B1F,52,63,56
A49C2A63E851,47,64,56
8EEC776A43D9,61,65,56
975B6F95D4AE,70,66,56
1F1DB4F82983,39,54,57
6578EB41D207,58,56,57
B86511A16115,42,57,57
FB2C3926D4EF,63,57,57
8D0AD0B0F306,43,57,57
8618601C8824,52,58,57
E73A11C8FA77,38,58,57
97DA59B1F1C8,54,59,57
5189D8C1F336,66,59,57
1BD6E6A550A1,59,59,57
5E8E25E0E08D,69,60,57
4CA8AC460BAD,45,60,57
446C38A82833,75,61,57
16DC7150CCD8,65,61,57
9555F6ACDE13,52,63,57
A2FFFCBD3D99,73,63,57
0122E35F1919,74,65,57
4322895D34FF,67,65,57
62AC5143150B,51,67,57
168F35937296,65,68,57
D2FBBE842488,51,52,58
