Student_ID,Gender,Year_Group
CC2F443C5C99,F,Group A
22E7A1158638,F,Group A
AE79A2647B1A,F,Group A
6E39B11464EC,F,Group A
2CA5D66C2B57,F,Group A
344AA8D3FA25,F,Group A
8436CBC3C15C,F,Group A
63188317312F,F,Group A
CBF82FFD35DE,F,Group A
B6EA96E03FF2,F,Group A
2FDB4F923A22,F,Group A
F2D1D7DBD65F,F,Group A
1032999DACF8,F,Group A
00E7C83E7D03,F,Group A
7286040E7974,F,Group A
451048AA3C25,F,Group A
0D2E9EB0A950,F,Group A
15C2005F8BE6,F,Group A
18E9521269A3,F,Group A
1F1950AD9E3C,F,Group A
434FE647F2B5,F,Group A
B56E329AAA43,F,Group A
AA8CD3D4EF3A,F,Group A
240766E80C3D,F,Group A
7854354FFC63,F,Group A
1272940F8AEF,F,Group A
5BFE009AF2B7,F,Group A
EA1892100CDF,F,Group A
7CDCD2A3CC30,F,Group A
5E330507B99D,F,Group A
97DA59B1F1C8,F,Group A
2096CE6C860C,F,Group A
57C7975F7905,F,Group A
75098DACE4FD,F,Group A
6CD0DF673D58,F,Group A
621B0AA39775,F,Group A
BB7035BF4ADA,F,Group A
F50EFA167C35,F,Group A
4948C2745C80,F,Group A
F368AD373F48,F,Group A
F1421799A6B3,F,Group A
4268FC1BBF04,F,Group A
9508878DBECD,M,Group A
26663929B9D5,M,Group A
2A5EA8897879,M,Group A
E8450AABFAE0,M,Group A
C123348C8D52,M,Group A
57789A1110EB,M,Group A
EDE430AD39D6,M,Group A
B8C8AA0F6A72,M,Group A
382B60906C52,M,Group A
C99E2A998253,M,Group A
ECFFA2F3516B,M,Group A
267964940168,M,Group A
37519D30A333,M,Group A
0A4DFCB22E3E,M,Group A
FB2C3926D4EF,M,Group A
2FF132E08CA3,M,Group A
A2F665623C4F,M,Group A
08E6DDE2B401,M,Group A
2F0C6D6AA452,M,Group A
5336CCAB317E,M,Group A
5DF8FAAFB299,M,Group A
6442CBCC4037,M,Group A
233208F4FE32,M,Group A
94BE06351E17,M,Group A
501A0C75823D,M,Group A
153D811E08FB,M,Group A
ECC06C13AD29,F,Group B
B0EEAAF4FAEF,F,Group B
16B945B4F6A3,F,Group B
71056FB2AD17,F,Group B
23EC1BD20ABE,F,Group B
589C6B138C1A,F,Group B
539B36A54321,F,Group B
338D452B1F05,F,Group B
BD9E59C0DC39,F,Group B
22DD464BA2AB,F,Group B
8F0644B7C78E,F,Group B
4AE08C879D70,F,Group B
C0FFC751B751,F,Group B
5C998F62377E,F,Group B
F70C456BED4E,F,Group B
92F0728236CC,F,Group B
16649925C023,F,Group B
66F1CCAB0182,F,Group B
0B93C820D727,F,Group B
CD1065DD9120,F,Group B
358CEF526D9E,F,Group B
885AFA4179F4,F,Group B
F3A66D61CE56,F,Group B
5F73E8A5C12D,F,Group B
1C12888E215A,F,Group B
AA7288A8359C,F,Group B
394A549666A0,F,Group B
7AF8D2A3201F,F,Group B
F62BA0EBE1F4,F,Group B
6EE9A7526F8F,F,Group B
38C241BD0FED,F,Group B
FF22577E45D8,F,Group B
9825D0BC400A,F,Group B
36F499DE4744,F,Group B
4473581D28E3,F,Group B
EBFF21605CC6,F,Group B
947C271E8FDC,F,Group B
48547B1FCFE0,F,Group B
C0D9D57CDFB5,F,Group B
9DBF6C7E95C5,F,Group B
550757E1C0B3,F,Group B
FE6802584ED3,F,Group B
685E2F3C546D,F,Group B
FBAC0A9BF036,F,Group B
CF98716BC4C6,F,Group B
2A8732C4F5C2,F,Group B
2E217CBBFD14,F,Group B
99658306486E,F,Group B
6470DBE6EB35,F,Group B
305E9F1AA67D,F,Group B
99610D179BB1,F,Group B
3767E44F3D48,F,Group B
BDE86DC495C6,F,Group B
1E4760172997,F,Group B
0AACB8FF24B4,F,Group B
A49C2A63E851,F,Group B
4A4F86CD223A,F,Group B
BACB506B8512,F,Group B
4F1D3DD077AD,F,Group B
6129D3AA7E7F,F,Group B
3D9017734B99,F,Group B
C13AC580A790,F,Group B
BAC092D4164D,F,Group B
9E1BAE3EFE7D,F,Group B
B9BA665B319A,F,Group B
CF51A52CD06A,F,Group B
45D15C5E203A,F,Group B
C109B259FCA1,F,Group B
E4D35FFFEE48,F,Group B
40556FA30792,F,Group B
A04586F90A7E,F,Group B
18CBFA9D3A9F,F,Group B
738FFAD6D082,F,Group B
5450C151A48E,F,Group B
D38F05E656BA,F,Group B
A804470B0878,F,Group B
BA0433D8A643,F,Group B
B3FC3CAE4EA9,F,Group B
A49A7C8E020F,F,Group B
1419793DEED9,F,Group B
EDC3ED6DC9A6,F,Group B
E38759EE6B1A,F,Group B
0B7376C9C407,F,Group B
402093B50F07,F,Group B
CA030BFFD583,F,Group B
00A29B9734B4,F,Group B
C956E9858E3E,F,Group B
5E9849FC981D,F,Group B
398EDC8D7360,F,Group B
9CE51413C045,F,Group B
43E1519F2042,F,Group B
FF22679D9BC8,F,Group B
5F8BCBBE8780,F,Group B
164394D24A13,F,Group B
F1D0A5877494,F,Group B
6FFE4CE605E7,F,Group B
77E4A818DBC7,F,Group B
FDDB4FCD74E7,F,Group B
459116B06019,F,Group B
F00D3F11BCFE,F,Group B
6FD841149FEC,F,Group B
DA5D0EE8390E,F,Group B
5588DD6C0456,F,Group B
E31B8A46282D,F,Group B
E0648B7ECCC1,F,Group B
56A440B24863,F,Group B
0161F5927B78,F,Group B
A3A5558121AA,F,Group B
2397396066FF,F,Group B
6ABE33B6BD9E,F,Group B
4A92F11EF803,M,Group B
9F4D737752D8,M,Group B
9478F8191330,M,Group B
869A0ACEB1DE,M,Group B
168F35937296,M,Group B
D5340932D27E,M,Group B
32B495DE2EE2,M,Group B
54750234029D,M,Group B
8618601C8824,M,Group B
544662C2A4EE,M,Group B
8B1B5F3FDEB2,M,Group B
8AEB22EA9D82,M,Group B
FC37FD84A71D,M,Group B
1B88E8DF360F,M,Group B
